,user,text,favorite_count,retweet_count,created_at
181,elonmusk,"@WholeMarsBlog So many well off critics don’t understand that demand at scale is limited by affordability. 

There is plenty of demand for our products, but if the price is more money than people have, that demand is irrelevant.",29274,2692,2023-04-07 17:36:34+00:00
182,elonmusk,@andst7 Italy is disappearing!,29999,3054,2023-04-07 17:32:36+00:00
183,elonmusk,@maccaw True,3691,205,2023-04-07 17:32:01+00:00
184,elonmusk,@ShellenbergerMD @lwoodhouse Wow,14330,1131,2023-04-07 17:24:55+00:00
185,elonmusk,"@Jason If you become mayor, my companies will double their investment in San Francisco.

Such an incredible city has been used &amp; abused by management for too long!",23140,1807,2023-04-07 17:24:01+00:00
186,elonmusk,@Chad_Hurley 🤣 don’t fall asleep on the floor with long hair and a Roomba,4085,328,2023-04-07 17:19:10+00:00
187,elonmusk,"@SmokeAwayyy Scary. I suppose it’s not boring, but still.",14121,1012,2023-04-07 15:37:39+00:00
188,elonmusk,@ellagirwin I should emphasize that someone really has to go over-the-top by repeatedly harassing the same account with no provocation to get their post bounced. This is not a hair-trigger situation.,11703,1211,2023-04-07 05:49:37+00:00
189,elonmusk,@EstesRockets 🔥🔥,1249,90,2023-04-07 05:39:28+00:00
190,elonmusk,@PatrickJBlum These are great,5197,315,2023-04-07 04:53:59+00:00
